url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4149370,Toyota Camry,2021,sõiduauto,sedaan,2.5 131kW,hübriid (bensiin / elekter),168438,esivedu,automaat,valge (White pärl),22290
https://www.auto24.ee/soidukid/4087725,Toyota RAV4,2022,sõiduauto,universaal (UNIVERSAAL),2.0 129kW,bensiin,123443,esivedu,automaat,valge (White tavavärv),22290
https://www.auto24.ee/soidukid/4187014,Fiat 500,2023,sõiduauto,luukpära,43kW,elekter,100,esivedu,automaat,roosa met. (Rose Gold),22300
https://www.auto24.ee/soidukid/4128882,Lexus GS 300h,2016,sõiduauto,sedaan,2.5 133kW,hübriid (bensiin / elekter),154067,tagavedu,automaat,hall met.,22300
https://www.auto24.ee/soidukid/4214359,Skoda Octavia,2021,sõiduauto,universaal,1.4 165kW,pistikhübriid (bensiin / elekter),105000,esivedu,automaat,sinine,22300
https://www.auto24.ee/soidukid/4188866,Opel Corsa Edition PureTech 100,,sõiduauto,luukpära,1.2 74kW,bensiin,2,esivedu,automaat (8AT),hõbedane met. (Kristall Silver),22350
https://www.auto24.ee/soidukid/4215839,SWM G01 Premium,2024,sõiduauto,universaal,1.5 102kW,bensiin,9500,esivedu,automaat,punane,22370
https://www.auto24.ee/soidukid/4230796,Mercedes-Benz CLA 200 Shooting Brake Urban Progressive,2020,sõiduauto,universaal,2.0 110kW,diisel,174900,esivedu,automaat,hall met. (MOUNTAINGRAU),22390
https://www.auto24.ee/soidukid/4241462,Tesla Model 3 Standard Range Plus,2020,sõiduauto,sedaan,225kW,elekter,91000,tagavedu,automaat,sinine met.,22390
https://www.auto24.ee/soidukid/4043384,Renault Arkana R S LINE,2022,sõiduauto,luukpära,1.6 69kW,hübriid (bensiin / elekter),49000,esivedu,automaat,must met.,22400
